"id","code","name"
"erpc_basic","MCICBASIC","Basic"
"erpc_revised_basic","MCICRBASIC","Revised Basic"
"erpc_revised_basic_usd","MCICRBASICUSD","Revised Basic USD"
"erpc_revised_basic_lbp","MCICRBASICLBP","Revised Basic LBP"
"erpc_overtime","MCICOT","Overtime"
"erpc_undertime","MCICUT","Undertime"
"erpc_transport","MCICTRANS","Transportation"
"erpc_allowance","MCICALW","Allowance"
"erpc_gross","MCICGROSS","Gross"
"erpc_deduction","MCICDED","Deduction"
"erpc_net","MCICNET","Net"
"erpc_total_allowance","MCICTOTALALLW","Total Allowances"
"erpc_total_deduction","MCICTOTALDED","Total Deductions"
"erpc_rounded_USD","MCICROUNDEDUSD","Rounded USD"
"erpc_rounded_LBP","MCICROUNDEDLBP","Rounded LBP"
"erpc_rounded_full","MCICROUNDEDFULL","Rounded Full"
